MTS793|BTW|ENG|1|0|.|/|:|44|1|1|A

Data Header:                                                Time:     118.19629 Sec       28/01/2022 11:32:30
Data Acquisition: Timed
Station Name: FORTH-1.cfg
Test File Name: Pappas.tst
Ch 1 Displacement Ch 1 Force Time
mm        kN        Sec
-1.1005938 -0.039724935 33.088867
-1.1013031 -0.039529182 33.108398
-1.1023402 -0.039677542 33.12793
-1.1030525 -0.039640557 33.147461
-1.1030465 -0.039106153 33.166992
-1.1044264 -0.03991488 33.186523
-1.1046141 -0.039863877 33.206055
-1.1057705 -0.039682619 33.225586
-1.1064768 -0.039584167 33.245117
-1.1071622 -0.039783262 33.264648
-1.1077851 -0.039838534 33.28418
-1.1087   -0.039489508 33.303711
-1.1096537 -0.039472733 33.323242
-1.1094242 -0.039670676 33.342773
-1.1098385 -0.03965269 33.362305
-1.1104941 -0.039665855 33.381836
-1.1113375 -0.039823517 33.401367
-1.1112541 -0.039840139 33.420898
-1.112783 -0.039493885 33.44043
-1.1132747 -0.040258456 33.459961
-1.113826 -0.039854832 33.479492
-1.1144519 -0.040167138 33.499023
-1.1158556 -0.039659929 33.518555
-1.1153102 -0.039946906 33.538086
-1.1167735 -0.039777044 33.557617
-1.1169821 -0.039895799 33.577148
-1.1175603 -0.040238187 33.59668
-1.1185199 -0.040035229 33.616211
-1.1189282 -0.040141389 33.635742
-1.1197597 -0.039606716 33.655273
-1.1203319 -0.039817519 33.674805
-1.1208773 -0.039844949 33.694336
-1.121226 -0.040360808 33.713867
-1.1222005 -0.040376071 33.733398
-1.1232913 -0.040340178 33.75293
-1.1241525 -0.040100202 33.772461
-1.1243999 -0.040063448 33.791992
-1.1249125 -0.04023559 33.811523
-1.1254489 -0.040159654 33.831055
-1.1267811 -0.040446244 33.850586
-1.1264175 -0.040024646 33.870117
-1.127556 -0.039923623 33.889648
-1.1277765 -0.040545337 33.90918
-1.1292815 -0.040740903 33.928711
-1.129204 -0.04044883 33.948242
-1.1296928 -0.040701125 33.967773
-1.131326 -0.040886831 33.987305
-1.1316836 -0.040922616 34.006836
-1.1325002 -0.040601797 34.026367
-1.1327386 -0.040642243 34.045898
-1.1337131 -0.040491857 34.06543
-1.1341065 -0.040627073 34.084961
-1.1347234 -0.040315777 34.104492
-1.1351854 -0.040194996 34.124023
-1.1360049 -0.040471587 34.143555
-1.1366814 -0.040507536 34.163086
-1.137808 -0.040498901 34.182617
-1.1380762 -0.040771928 34.202148
-1.1384845 -0.041307464 34.22168
-1.1390328 -0.04083398 34.241211
-1.1397511 -0.04130327 34.260742
-1.141426 -0.040715154 34.280273
-1.1417538 -0.040972967 34.299805
-1.1418879 -0.04067798 34.319336
-1.1429042 -0.040522486 34.338867
-1.1435926 -0.040837947 34.358398
-1.1434764 -0.040357992 34.37793
-1.1442065 -0.040831931 34.397461
-1.1447817 -0.040690333 34.416992
-1.1456728 -0.041467208 34.436523
-1.1465281 -0.041247938 34.456055
-1.1467516 -0.041023269 34.475586
-1.1478126 -0.040988427 34.495117
-1.1483997 -0.04123491 34.514648
-1.149413 -0.041469418 34.53418
-1.1490315 -0.041083898 34.553711
-1.15107  -0.04126858 34.573242
-1.150912 -0.040822186 34.592773
-1.1519194 -0.041472621 34.612305
-1.1522382 -0.041007612 34.631836
-1.1535048 -0.041566744 34.651367
-1.1536926 -0.040936388 34.670898
-1.1541396 -0.041711643 34.69043
-1.1541933 -0.041536521 34.709961
-1.1555851 -0.041432273 34.729492
-1.1561364 -0.041616302 34.749023
-1.1567891 -0.041736521 34.768555
-1.1567533 -0.041103691 34.788086
-1.1583865 -0.0410459 34.807617
-1.1591792 -0.041595776 34.827148
-1.1598647 -0.041107439 34.84668
-1.1600465 -0.041369781 34.866211
-1.1608183 -0.041383609 34.885742
-1.161167 -0.041694425 34.905273
-1.1619449 -0.041621491 34.924805
-1.1626154 -0.041657478 34.944336
-1.163429 -0.04160722 34.963867
-1.164493 -0.041987944 34.983398
-1.1650085 -0.041889619 35.00293
-1.1650026 -0.041964021 35.022461
-1.1658102 -0.041348733 35.041992
-1.1666566 -0.04156749 35.061523
-1.1671305 -0.041594587 35.081055
-1.1679232 -0.041489478 35.100586
-1.168713 -0.041988574 35.120117
-1.1695087 -0.041842602 35.139648
-1.1702001 -0.04199563 35.15918
-1.170221 -0.042064335 35.178711
-1.1713177 -0.041791633 35.198242
-1.1722803 -0.041888911 35.217773
-1.1727363 -0.042396843 35.237305
-1.1729419 -0.042087246 35.256836
-1.1740088 -0.042370848 35.276367
-1.1747569 -0.041647103 35.295898
-1.1753201 -0.042034522 35.31543
-1.1754096 -0.041374274 35.334961
-1.1762381 -0.04186444 35.354492
-1.1769205 -0.042057015 35.374023
-1.177898 -0.041968435 35.393555
-1.1782497 -0.04259669 35.413086
-1.1794567 -0.042282544 35.432617
-1.1798322 -0.042485341 35.452148
-1.1800349 -0.042510986 35.47168
-1.1811018 -0.042847078 35.491211
-1.1815697 -0.042291183 35.510742
-1.1821866 -0.042503025 35.530273
-1.1827826 -0.042172126 35.549805
-1.1835933 -0.042455841 35.569336
-1.1839569 -0.04249391 35.588867
-1.1852056 -0.042785354 35.608398
-1.1861742 -0.042459276 35.62793
-1.1859834 -0.042705551 35.647461
-1.1869937 -0.042998545 35.666992
-1.1879146 -0.042762224 35.686523
-1.1887461 -0.043161366 35.706055
-1.1885524 -0.042871572 35.725586
-1.190269 -0.042468041 35.745117
-1.1900067 -0.042769 35.764648
-1.1910915 -0.04250215 35.78418
-1.1916816 -0.042851817 35.803711
-1.1916667 -0.042920768 35.823242
-1.1925668 -0.042506367 35.842773
-1.1938721 -0.042909395 35.862305
-1.1939764 -0.042951353 35.881836
-1.194945 -0.043117139 35.901367
-1.1951238 -0.043417688 35.920898
-1.1964202 -0.043093018 35.94043
-1.1963397 -0.043231621 35.959961
-1.1966556 -0.043115765 35.979492
-1.1983365 -0.043180667 35.999023
-1.1987656 -0.043360259 36.018555
-1.1988223 -0.043115661 36.038086
-1.2000203 -0.043164577 36.057617
-1.200223 -0.042792317 36.077148
-1.2014866 -0.043157768 36.09668
-1.2024611 -0.043225989 36.116211
-1.2025088 -0.043311868 36.135742
-1.2037218 -0.043536395 36.155273
-1.2044162 -0.043695092 36.174805
-1.2050182 -0.043725189 36.194336
-1.205343 -0.043105006 36.213867
-1.2057066 -0.0432541 36.233398
-1.205802 -0.043625593 36.25293
-1.2067616 -0.043286417 36.272461
-1.2075156 -0.04317268 36.291992
-1.2084067 -0.04341615 36.311523
-1.209566 -0.043480054 36.331055
-1.210326 -0.043427911 36.350586
-1.2105525 -0.043058686 36.370117
-1.2104481 -0.04354104 36.389648
-1.2122273 -0.043764722 36.40918
-1.2130976 -0.043764234 36.428711
-1.2134433 -0.043957949 36.448242
-1.2138188 -0.043487422 36.467773
-1.2144595 -0.043808959 36.487305
-1.2146443 -0.043924268 36.506836
-1.2156308 -0.043368235 36.526367
-1.2160778 -0.043602321 36.545898
-1.2163401 -0.04303566 36.56543
-1.2172252 -0.043898217 36.584961
-1.2179613 -0.043934863 36.604492
-1.2185574 -0.044066843 36.624023
-1.2188941 -0.044297952 36.643555
-1.2202054 -0.044241153 36.663086
-1.2206346 -0.043992862 36.682617
-1.2213975 -0.043778647 36.702148
-1.2219667 -0.044212304 36.72168
-1.2230933 -0.043869331 36.741211
-1.2231737 -0.043657072 36.760742
-1.2235761 -0.044018928 36.780273
-1.2251735 -0.043613732 36.799805
-1.2251675 -0.044151735 36.819336
-1.2259871 -0.044237193 36.838867
-1.2265027 -0.044332292 36.858398
-1.2279689 -0.044431943 36.87793
-1.2283444 -0.043902032 36.897461
-1.2286186 -0.044485494 36.916992
-1.2292296 -0.044375729 36.936523
-1.2298048 -0.043939147 36.956055
-1.2306154 -0.044189788 36.975586
-1.2307376 -0.044204678 36.995117
-1.2320697 -0.044055689 37.014648
-1.2328207 -0.044315089 37.03418
-1.2331784 -0.044279765 37.053711
-1.2340844 -0.044155657 37.073242
-1.2344778 -0.044772577 37.092773
-1.2352407 -0.044631619 37.112305
-1.2358904 -0.044591643 37.131836
-1.2365788 -0.04523053 37.151367
-1.2369335 -0.044764508 37.170898
-1.238063 -0.044403702 37.19043
-1.2383699 -0.044758651 37.209961
-1.2390226 -0.044141907 37.229492
-1.2391567 -0.044535019 37.249023
-1.2405127 -0.044305272 37.268555
-1.2408704 -0.044778455 37.288086
-1.2411833 -0.044969901 37.307617
-1.2420535 -0.044696197 37.327148
-1.2433499 -0.045211054 37.34668
-1.2435824 -0.04497372 37.366211
-1.2444496 -0.04491869 37.385742
-1.2451887 -0.044669725 37.405273
-1.2452096 -0.044983428 37.424805
-1.2457997 -0.044827733 37.444336
-1.246962 -0.044748604 37.463867
-1.2470901 -0.044783227 37.483398
-1.2483895 -0.044989366 37.50293
-1.2487411 -0.044972762 37.522461
-1.2492746 -0.044641376 37.541992
-1.2502551 -0.045218274 37.561523
-1.250425 -0.045340449 37.581055
-1.2514055 -0.044968888 37.600586
-1.2520164 -0.045262869 37.620117
-1.2521952 -0.045540091 37.639648
-1.253432 -0.045190774 37.65918
-1.2537837 -0.044688083 37.678711
-1.2551159 -0.045321077 37.698242
-1.2551993 -0.044789933 37.717773
-1.2553334 -0.044904694 37.737305
-1.2567163 -0.044866245 37.756836
-1.2571335 -0.044741284 37.776367
-1.2576222 -0.04531236 37.795898
-1.2583941 -0.045288507 37.81543
-1.2594044 -0.045165595 37.834961
-1.2598872 -0.045582049 37.854492
-1.260066 -0.045042556 37.874023
-1.2609184 -0.04537981 37.893555
-1.2616187 -0.04547859 37.913086
-1.2618124 -0.045041122 37.932617
-1.2623638 -0.045704562 37.952148
-1.263082 -0.045173943 37.97168
-1.2633413 -0.045224406 37.991211
-1.2646079 -0.045571268 38.010742
-1.2653977 -0.045568809 38.030273
-1.2660623 -0.045315877 38.049805
-1.2665004 -0.045247249 38.069336
-1.2672901 -0.046178825 38.088867
-1.2684494 -0.046155822 38.108398
-1.2686312 -0.045835085 38.12793
-1.2695432 -0.045705806 38.147461
-1.2698412 -0.045766298 38.166992
-1.2702495 -0.04592327 38.186523
-1.271069 -0.046012364 38.206055
-1.2717485 -0.045748964 38.225586
-1.272738 -0.045782536 38.245117
-1.2734294 -0.046097744 38.264648
-1.274085 -0.046303052 38.28418
-1.2743503 -0.046461925 38.303711
-1.2751132 -0.046310131 38.323242
-1.2760818 -0.046291132 38.342773
-1.2771785 -0.046155963 38.362305
-1.2777776 -0.046067454 38.381836
-1.2779325 -0.04603843 38.401367
-1.2780637 -0.046035066 38.420898
-1.278773 -0.045959175 38.44043
